,fas_code,course_code
159,FRSEMR 60R,FRSEMR 60R
160,FRSEMR 51F,FRSEMR 51F
161,EMR 152,EMR 152
162,GOV 1540,GOV 1540
163,AFVS 51S,AFVS 51S
164,SOCIOL 1163,SOCIOL 1163
165,RUSS 101,RUSS 101
166,STAT 100,STAT 100
167,TDM 119,TDM 119
168,GREEK 134,GREEK 134
169,GOV 50,GOV 50
170,PHIL 3,PHIL 3
171,GENED 1050,GENED 1050
172,IGBO AA,IGBO AA
173,GENED 1114,GENED 1114
174,HUMAN 10A,HUMAN 10A
175,AFVS 52,AFVS 52
176,MCB 80,MCB 80
177,LATIN 3,LATIN 3
178,ECON 1017,ECON 1017
179,ECON 10A,ECON 10A
180,FRSEMR 23P,FRSEMR 23P
181,MATH MA,MATH MA
182,PHYSICS 19,PHYSICS 19
183,PHYSICS 20,PHYSICS 20
184,SPANSH 50,SPANSH 50
185,FRSEMR 41K,FRSEMR 41K
186,EMR 1010,EMR 1010
187,FRSEMR 26E,FRSEMR 26E
188,FRSEMR 62I,FRSEMR 62I
189,ECON 10B,ECON 10B
190,AFVS 165V,AFVS 165V
191,SLAVIC 148,SLAVIC 148
192,GOV 30,GOV 30
193,MATH 22A,MATH 22A
194,FRSEMR 26J,FRSEMR 26J
195,RELIGION 1590,RELIGION 1590
196,FRSEMR 33X,FRSEMR 33X
197,COMPLIT 109,COMPLIT 109
198,RUSS BA,RUSS BA
199,MATH 19A,MATH 19A
200,TWI AA,TWI AA
201,FRSEMR 49N,FRSEMR 49N
202,SOCIOL 1111,SOCIOL 1111
203,GENED 1144,GENED 1144
204,LATIN 10,LATIN 10
205,HIST-LIT 90FL,HIST-LIT 90FL
206,SPANSH 20,SPANSH 20
207,HIST-LIT 90FK,HIST-LIT 90FK
208,COMPLIT 121X,COMPLIT 121X
209,SANSKRIT 101A,SANSKRIT 101A
210,SAS 100R,SAS 100R
211,FRSEMR 51H,FRSEMR 51H
212,ARABIC BA,ARABIC BA
213,PORTUG 10S,PORTUG 10S
214,FRSEMR 21W,FRSEMR 21W
215,GREEK 112A,GREEK 112A
216,LPS A,LPS A
217,MOD-HEB 130A,MOD-HEB 130A
218,FRSEMR 21V,FRSEMR 21V
219,FRSEMR 25N,FRSEMR 25N
220,SOCIOL 1119,SOCIOL 1119
221,TIGRINYA AA,TIGRINYA AA
222,HIST 1602,HIST 1602
223,STAT 210,STAT 210
224,GENED 1033,GENED 1033
225,FRSEMR 50Y,FRSEMR 50Y
226,HIST 1024,HIST 1024
227,GOV 1060,GOV 1060
228,ECON 1021,ECON 1021
229,MUSIC 189R,MUSIC 189R
230,ENGLISH 187AA,ENGLISH 187AA
231,FRSEMR 72V,FRSEMR 72V
232,GENED 1080,GENED 1080
233,FRENCH 11,FRENCH 11
234,FRSEMR 64T,FRSEMR 64T
235,APMTH 104,APMTH 104
236,MODGRK AA,MODGRK AA
237,AFRAMER 180Y,AFRAMER 180Y
238,NEURO 80,NEURO 80
239,ANTHRO 1224,ANTHRO 1224
240,GOV 93CJ,GOV 93CJ
241,SOCIOL 90I,SOCIOL 90I
242,FRSEMR 71Y,FRSEMR 71Y
243,ANTHRO 1906,ANTHRO 1906
244,RELIGION 1084,RELIGION 1084
245,MUSIC 15,MUSIC 15
246,STAT 110,STAT 110
247,MUSIC 16,MUSIC 16
248,JAPAN 120A,JAPAN 120A
249,OEB 59,OEB 59
250,FRSEMR 72U,FRSEMR 72U
251,FRSEMR 27I,FRSEMR 27I
252,HIND-URD 101A,HIND-URD 101A
253,SWEDISH 10A,SWEDISH 10A
254,ENGLISH CSST,ENGLISH CSST
255,FRSEMR 64Z,FRSEMR 64Z
256,FRSEMR 23C,FRSEMR 23C
257,FRSEMR 64O,FRSEMR 64O
258,BCS AA,BCS AA
259,SOCIOL 1185,SOCIOL 1185
260,ANTHRO 1250,ANTHRO 1250
261,FRSEMR 65C,FRSEMR 65C
262,MCB 60,MCB 60
263,GENED 1146,GENED 1146
264,SOCIOL 1176,SOCIOL 1176
265,ITAL 30,ITAL 30
266,FRSEMR 52C,FRSEMR 52C
267,HEB 1330,HEB 1330
268,EMR 151,EMR 151
269,CHNSE 120A,CHNSE 120A
270,ENGLISH CNL,ENGLISH CNL
271,GENED 1094,GENED 1094
272,NEP 101A,NEP 101A
273,KOREAN 120A,KOREAN 120A
274,TDM 150,TDM 150
275,GREEK 116,GREEK 116
276,FRSEMR 64U,FRSEMR 64U
277,GERMAN 10AB,GERMAN 10AB
278,FRSEMR 60C,FRSEMR 60C
279,GERMAN 20B,GERMAN 20B
280,FRSEMR 43F,FRSEMR 43F
281,COMPSCI 109A,COMPSCI 109A
282,AFRAMER 20,AFRAMER 20
283,SOCIOL 1000,SOCIOL 1000
284,HIST 1023,HIST 1023
285,GOV 1790,GOV 1790
286,FRSEMR 30M,FRSEMR 30M
287,PERSIAN 130AR,PERSIAN 130AR
288,AFVS 118C,AFVS 118C
289,FRSEMR 64Y,FRSEMR 64Y
290,STAT 104,STAT 104
291,TDM 134,TDM 134
292,AFRAMER 115Y,AFRAMER 115Y
293,FRSEMR 50P,FRSEMR 50P
294,GOV 1023,GOV 1023
295,YIDDISH 107,YIDDISH 107
296,ENGLISH 10,ENGLISH 10
