index,fas_code,enrollment
387,FAS-116353-2218-1-1-222,15
388,FAS-116353-2218-1-1-227,14
389,FAS-116353-2218-1-1-223,13
390,FAS-116353-2218-1-1-226,15
391,FAS-116353-2218-1-1-224,13
392,FAS-116353-2218-1-1-228,12
393,FAS-116353-2218-1-1-236,15
394,FAS-116353-2218-1-1-229,15
395,FAS-116353-2218-1-1-230,15
396,FAS-116353-2218-1-1-231,14
397,FAS-116353-2218-1-1-237,14
398,FAS-116353-2218-1-1-238,15
399,FAS-116353-2218-1-1-240,15
400,FAS-116353-2218-1-1-241,8
401,FAS-116353-2218-1-1-239,15
402,FAS-116353-2218-1-1-242,15
403,FAS-116353-2218-1-1-246,14
404,FAS-116353-2218-1-1-243,13
405,FAS-116353-2218-1-1-244,15
406,FAS-116353-2218-1-1-245,15
407,FAS-116353-2218-1-1-249,15
408,FAS-116353-2218-1-1-252,15
409,FAS-116353-2218-1-1-253,15
410,FAS-116353-2218-1-1-251,15
411,FAS-116353-2218-1-1-254,15
412,FAS-116353-2218-1-1-250,13
413,FAS-116353-2218-1-1-255,15
414,FAS-116353-2218-1-1-258,15
415,FAS-116353-2218-1-1-256,15
416,FAS-116353-2218-1-1-257,14
417,FAS-116353-2218-1-1-259,12
418,FAS-125227-2218-1-1-001,14
419,FAS-125227-2218-1-1-004,13
420,FAS-125227-2218-1-1-006,14
421,FAS-125227-2218-1-1-002,15
422,FAS-125227-2218-1-1-003,14
423,FAS-125227-2218-1-1-007,13
424,FAS-125227-2218-1-1-008,13
425,FAS-125227-2218-1-1-010,12
426,FAS-125227-2218-1-1-009,13
427,FAS-218266-2218-1-1-001,168
428,FAS-218914-2218-1-1-001,31
429,FAS-109916-2218-1-1-001,11
430,FAS-112349-2218-1-1-001,11
431,FAS-161297-2218-1-1-001,9
432,FAS-123658-2218-1-1-001,12
433,FAS-160198-2218-1-1-001,8
434,FAS-160219-2218-1-1-001,12
435,FAS-127976-2218-1-1-001,15
436,FAS-109575-2218-1-1-01,9
437,FAS-122458-2218-1-1-001,11
438,FAS-110305-2218-1-1-001,10
439,FAS-107340-2218-1-1-001,15
440,FAS-121549-2218-1-1-001,13
441,FAS-156450-2218-1-1-001,13
442,FAS-108257-2218-1-1-001,12
443,FAS-156449-2218-1-1-001,15
444,FAS-108261-2218-1-1-001,12
445,FAS-108829-2218-1-1-001,17
446,FAS-116807-2218-1-1-001,11
447,FAS-121901-2218-1-1-001,14
448,FAS-126838-2218-1-1-001,12
449,FAS-127970-2218-1-1-001,12
450,FAS-156502-2218-1-1-001,12
451,FAS-109469-2218-1-1-001,12
452,FAS-119569-2218-1-1-001,11
453,FAS-124777-2218-1-1-001,16
454,FAS-159837-2218-1-1-001,12
455,FAS-160203-2218-1-1-001,12
456,FAS-160211-2218-1-1-001,12
457,FAS-108515-2218-1-1-001,10
458,FAS-121907-2218-1-1-001,11
459,FAS-207514-2218-1-1-001,11
460,FAS-204926-2218-1-1-001,11
461,FAS-204929-2218-1-1-001,12
462,FAS-205339-2218-1-1-001,14
463,FAS-207776-2218-1-1-01,10
464,FAS-216084-2218-1-1-001,10
465,FAS-215847-2218-1-1-001,6
466,FAS-216102-2218-1-1-001,14
467,FAS-212771-2218-1-1-001,10
468,FAS-216113-2218-1-1-001,14
469,FAS-218480-2218-1-1-001,11
470,FAS-218493-2218-1-1-001,9
471,FAS-218497-2218-1-1-001,9
472,FAS-203005-2218-1-1-001,10
473,FAS-205082-2218-1-1-001,12
474,FAS-207807-2218-1-1-001,12
475,FAS-207763-2218-1-1-001,12
476,FAS-207789-2218-1-1-001,9
477,FAS-212697-2218-1-1-001,15
478,FAS-212779-2218-1-1-001,12
479,FAS-212786-2218-1-1-001,12
480,FAS-213252-2218-1-1-001,5
481,FAS-215850-2218-1-1-001,12
482,FAS-216104-2218-1-1-001,11
483,FAS-216119-2218-1-1-001,13
484,FAS-216112-2218-1-1-001,10
485,FAS-218379-2218-1-1-001,13
486,FAS-218482-2218-1-1-001,12
487,FAS-218369-2218-1-1-001,14
488,FAS-218483-2218-1-1-001,6
489,FAS-218485-2218-1-1-001,12
490,FAS-218680-2218-1-1-1,11
491,FAS-203013-2218-1-1-001,15
492,FAS-203011-2218-1-1-001,15
493,FAS-203014-2218-1-1-001,15
494,FAS-207507-2218-1-1-001,12
495,FAS-212698-2218-1-1-001,11
496,FAS-218479-2218-1-1-001,10
497,FAS-212785-2218-1-1-001,11
498,FAS-207777-2218-1-1-001,14
499,FAS-218503-2218-1-1-001,13
500,FAS-218514-2218-1-1-001,15
501,FAS-125195-2218-1-1-001,99
502,FAS-203045-2218-1-1-001,58
503,FAS-212765-2218-1-1-001,211
504,FAS-215876-2218-1-1-001,154
505,FAS-107464-2218-1-1-001,66
506,FAS-118517-2218-1-1-001,14
507,FAS-118290-2218-1-1-001,49
508,FAS-107669-2218-1-1-001,81
509,FAS-204966-2218-1-1-001,211
510,FAS-212896-2218-1-1-001,801
511,FAS-212840-2218-1-1-001,44
