fas_code,enrollment,course_code
FAS-107340-2218-1-1-001,15,FRSEMR 26F
FAS-121549-2218-1-1-001,13,FRSEMR 26J
FAS-156450-2218-1-1-001,13,FRSEMR 26K
FAS-108257-2218-1-1-001,12,FRSEMR 25X
FAS-156449-2218-1-1-001,15,FRSEMR 26O
FAS-108261-2218-1-1-001,12,FRSEMR 30G
FAS-108829-2218-1-1-001,17,FRSEMR 27I
FAS-116807-2218-1-1-001,11,FRSEMR 33X
FAS-121901-2218-1-1-001,14,FRSEMR 31J
FAS-126838-2218-1-1-001,12,FRSEMR 35N
FAS-127970-2218-1-1-001,12,FRSEMR 40J
FAS-156502-2218-1-1-001,12,FRSEMR 41K
FAS-109469-2218-1-1-001,12,FRSEMR 40P
FAS-119569-2218-1-1-001,11,FRSEMR 37Y
FAS-124777-2218-1-1-001,16,FRSEMR 41P
FAS-159837-2218-1-1-001,12,FRSEMR 41R
FAS-160203-2218-1-1-001,12,FRSEMR 42H
FAS-160211-2218-1-1-001,12,FRSEMR 43C
FAS-108515-2218-1-1-001,10,FRSEMR 43W
FAS-121907-2218-1-1-001,11,FRSEMR 49N
FAS-207514-2218-1-1-001,11,FRSEMR 51C
FAS-204926-2218-1-1-001,11,FRSEMR 50R
FAS-204929-2218-1-1-001,12,FRSEMR 50S
FAS-205339-2218-1-1-001,14,FRSEMR 50Y
FAS-207776-2218-1-1-01,10,FRSEMR 51M
FAS-216084-2218-1-1-001,10,FRSEMR 51S
FAS-215847-2218-1-1-001,6,FRSEMR 51V
FAS-216102-2218-1-1-001,14,FRSEMR 52C
FAS-212771-2218-1-1-001,10,FRSEMR 51P
FAS-216113-2218-1-1-001,14,FRSEMR 52F
FAS-218480-2218-1-1-001,11,FRSEMR 52L
FAS-218493-2218-1-1-001,9,FRSEMR 52K
FAS-218497-2218-1-1-001,9,FRSEMR 52M
FAS-203005-2218-1-1-001,10,FRSEMR 60H
FAS-205082-2218-1-1-001,12,FRSEMR 61Q
FAS-207807-2218-1-1-001,12,FRSEMR 62J
FAS-207763-2218-1-1-001,12,FRSEMR 62I
FAS-207789-2218-1-1-001,9,FRSEMR 62O
FAS-212697-2218-1-1-001,15,FRSEMR 62U
FAS-212779-2218-1-1-001,12,FRSEMR 63C
FAS-212786-2218-1-1-001,12,FRSEMR 63F
FAS-213252-2218-1-1-001,5,FRSEMR 63J
FAS-215850-2218-1-1-001,12,FRSEMR 63L
FAS-216104-2218-1-1-001,11,FRSEMR 63N
FAS-216119-2218-1-1-001,13,FRSEMR 63O
FAS-216112-2218-1-1-001,10,FRSEMR 63T
FAS-218379-2218-1-1-001,13,FRSEMR 64J
FAS-218482-2218-1-1-001,12,FRSEMR 64K
